City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Bagdarin,RU,65.43,light rain,54.4333,113.6,Gostevoy Dom Terem
165,Torbay,CA,65.57,overcast clouds,47.6666,-52.7314,Gallows Cove
166,Muros,ES,68.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
171,Ukiah,US,75.36,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
175,Port-Gentil,GA,73.72,scattered clouds,-0.7193,8.7815,Fengshui Residence
176,Luganville,VU,79.83,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
178,Akonolinga,CM,66.34,overcast clouds,3.7667,12.25,Le Diamant De Mireille
179,Cherskiy,RU,68.74,few clouds,68.75,161.3,Gostinitsa
180,Ribeira Grande,PT,73.33,few clouds,38.5167,-28.7,Quinta da Meia Eira
181,Loa Janan,ID,76.05,light rain,-0.583,117.095,Kost bu jono
182,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
184,Asau,RO,65.32,light rain,46.4333,26.4,Casa Mika Ciobanus
187,Maarianhamina,AX,62.46,clear sky,60.0973,19.9348,Park Alandia Hotel
188,Lincoln,US,71.15,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
189,Nsanje,MW,64.72,clear sky,-16.92,35.262,Nsanje Discovery Lodge
192,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
198,Faanui,PF,79.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
200,Deputatskiy,RU,71.37,overcast clouds,69.3,139.9,Baza Otdykha
201,Whitehorse,CA,66.97,light intensity shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
204,Palmer,US,69.17,clear sky,42.1584,-72.3287,Wedgewood Motel
205,Bethel,US,71.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
207,Vao,NC,68.16,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
209,Geneva,US,71.8,clear sky,41.8875,-88.3054,Best Western Inn Of St. Charles
212,Pochutla,MX,75.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
213,Basoko,CD,71.19,overcast clouds,1.2391,23.616,Jackyna Hotel
214,Okha,RU,61.39,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
221,Trinidad,BO,67.05,clear sky,-14.8333,-64.9,Hotel Piesta
224,Kilembe,UG,61.59,light rain,0.2,30.0,Mbunga Community Campsite
231,Leshukonskoye,RU,69.73,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
233,Iquitos,PE,73.44,mist,-3.7481,-73.2472,Cortez Malaga Techy Caroly
234,Bubaque,GW,78.98,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
237,Broome,US,63.36,clear sky,42.2506,-75.833,Chenango Valley State Park
239,Guerrero Negro,MX,70.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
243,Puteyets,RU,72.1,broken clouds,65.1716,57.091,"Sot ""Agrarnik"""
244,Grand Gaube,MU,72.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
246,Ciucsangeorgiu,RO,60.39,light rain,46.3167,25.95,Cosy Transylvanian Accommodation
247,Vad,RU,65.41,clear sky,55.5301,44.2114,Riv'yera Rezort Otel'
251,Lardos,GR,78.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
255,Yankton,US,75.11,few clouds,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
256,Yulara,AU,69.55,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
259,Platteville,US,67.51,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
260,Oliveira Dos Brejinhos,BR,69.01,clear sky,-12.3169,-42.8961,Hotel Paraiso
261,Bilibino,RU,62.17,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
263,Bowen,AU,70.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
264,Paraiso,CR,68.88,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
275,Kristinehamn,SE,61.36,light rain,59.3098,14.1081,Hotell Marieberg
277,Fortuna,US,60.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
278,Fort Dodge,US,69.8,few clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
284,Bow Island,CA,68.63,light rain,49.8668,-111.3684,Silver Sage Motel
286,Hovd,MN,78.98,broken clouds,48.0056,91.6419,Hotel Khovd
292,Bereda,ES,62.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
296,Pimenta Bueno,BR,68.32,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
