City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Tiksi,RU,71.6872,128.8694,53.89,69,100,5.59,overcast clouds
198,Faanui,PF,-16.4833,-151.75,79.21,71,2,22.86,light rain
199,Hami,CN,42.8,93.45,95.16,16,94,10.45,overcast clouds
200,Deputatskiy,RU,69.3,139.9,71.37,46,85,3.74,overcast clouds
201,Whitehorse,CA,60.7161,-135.0538,66.97,59,75,10.36,light intensity shower rain
202,Katsuura,JP,35.1333,140.3,86.68,70,2,16.64,clear sky
203,Lodja,CD,-3.4833,23.4333,73.29,72,78,1.83,broken clouds
204,Palmer,US,42.1584,-72.3287,69.17,83,0,0.0,clear sky
205,Bethel,US,41.3712,-73.414,71.64,83,0,0.0,clear sky
206,Punta Alta,AR,-38.8759,-62.0736,48.67,80,100,4.99,overcast clouds
207,Vao,NC,-22.6667,167.4833,68.16,76,98,25.39,overcast clouds
208,Bengkulu,ID,-3.8004,102.2655,84.67,64,99,5.39,overcast clouds
209,Geneva,US,41.8875,-88.3054,71.8,79,0,3.44,clear sky
210,Cabo San Lucas,MX,22.8909,-109.9124,86.61,60,41,5.46,scattered clouds
211,Chumikan,RU,54.7183,135.315,59.99,86,94,6.8,overcast clouds
212,Pochutla,MX,15.7432,-96.4661,75.81,89,82,4.41,broken clouds
213,Basoko,CD,1.2391,23.616,71.19,93,99,1.92,overcast clouds
214,Okha,RU,53.5739,142.9478,61.39,64,98,12.1,overcast clouds
215,Beringovskiy,RU,63.05,179.3167,51.48,69,100,3.87,overcast clouds
216,Cidreira,BR,-30.1811,-50.2056,53.76,83,1,7.25,clear sky
217,Husavik,IS,66.0449,-17.3389,44.11,90,100,15.95,overcast clouds
218,Denpasar,ID,-8.65,115.2167,82.06,74,40,14.97,scattered clouds
219,Pangnirtung,CA,66.1451,-65.7125,51.51,93,100,2.93,moderate rain
220,Berlevag,NO,70.8578,29.0864,53.4,93,100,9.22,mist
221,Trinidad,BO,-14.8333,-64.9,67.05,56,2,2.71,clear sky
222,Georgetown,MY,5.4112,100.3354,89.53,75,20,6.91,few clouds
223,Dikson,RU,73.5069,80.5464,41.11,92,82,11.25,broken clouds
224,Kilembe,UG,0.2,30.0,61.59,86,96,1.1,light rain
225,Camana,PE,-16.6228,-72.7111,59.34,82,5,7.54,clear sky
226,East London,ZA,-33.0153,27.9116,55.78,63,6,16.82,clear sky
227,Te Anau,NZ,-45.4167,167.7167,40.5,90,62,1.21,broken clouds
